pergunta,op1,op2,op3,op4,resposta
Quem é o protagonista de Hunter x Hunter?,Gon Freecss,Killua Zoldyck,Leorio,Hisoka,1
Qual o sobrenome de Killua?,Freecss,Zoldyck,Lucilfer,Netero,2
Quem é o criador do exame Hunter?,Netero,Ging,Hisoka,Pariston,1
Qual a arma principal do Kurapika?,Correntes,Espada,Arco,Bastão,1
Qual a idade do Gon no começo da história?,10,11,12,13,3
Quem é o pai do Gon?,Pariston,Ging,Silva,Illumi,2
Qual a família de assassinos da obra?,Freecss,Zoldyck,Lucilfer,Kakin,2
Quem é o amigo de Gon especialista em eletricidade?,Kurapika,Leorio,Killua,Meruem,3
Qual é o título de Meruem?,Rei das Formigas Quimera,Príncipe do Kakin,Líder dos Zoldyck,Presidente Hunter,1
Quem luta contra Meruem no Palácio?,Hisoka,Netero,Ging,Killua,2
